"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite56Kb:GC-Collections","thrpt",3,5,7.800000,6.327254,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite56Kb:GC-Time","thrpt",3,5,34.400000,45.772480,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite56Kb:JVMCPU","thrpt",3,5,16020.000000,692.045457,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite56Kb:MemAlloc","thrpt",3,5,1313282.676000,542477.592441,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite56Kb:ThreadCPU","thrpt",3,5,5228.600000,316.557126,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite614Kb","thrpt",3,5,760.524945,200.121422,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite614Kb:GC-Collections","thrpt",3,5,17.400000,10.403867,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite614Kb:GC-Time","thrpt",3,5,66.200000,75.378261,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite614Kb:JVMCPU","thrpt",3,5,28528.000000,7705.589750,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite614Kb:MemAlloc","thrpt",3,5,1974621.578000,1735277.398840,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferWrite614Kb:ThreadCPU","thrpt",3,5,8612.800000,5463.184718,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead118Kb","thrpt",3,5,298.665394,104.944269,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead118Kb:GC-Collections","thrpt",3,5,14.600000,12.654507,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead118Kb:GC-Time","thrpt",3,5,55.800000,14.252585,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead118Kb:JVMCPU","thrpt",3,5,22578.000000,1569.202364,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead118Kb:MemAlloc","thrpt",3,5,5908918.598000,2709206.629978,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead118Kb:ThreadCPU","thrpt",3,5,7932.000000,856.225118,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead1Kb","thrpt",3,5,277.452726,99.298300,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead1Kb:GC-Collections","thrpt",3,5,10.800000,11.679581,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead1Kb:GC-Time","thrpt",3,5,35.800000,31.683102,"GC Time"
