"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:JVMCPU","avgt",3,2,140390.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:MemAlloc","avgt",3,2,40104286.510000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:ThreadCPU","avgt",3,2,51944.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb","avgt",3,2,7.789291,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:GC-Collections","avgt",3,2,11.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:GC-Time","avgt",3,2,62.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:JVMCPU","avgt",3,2,21860.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:MemAlloc","avgt",3,2,3779766.920000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead118Kb:ThreadCPU","avgt",3,2,8071.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb","avgt",3,2,7.741522,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:GC-Collections","avgt",3,2,4.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:GC-Time","avgt",3,2,17.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:JVMCPU","avgt",3,2,6140.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:MemAlloc","avgt",3,2,3304282.680000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead1Kb:ThreadCPU","avgt",3,2,2003.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb","avgt",3,2,8.586609,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:GC-Collections","avgt",3,2,5.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:GC-Time","avgt",3,2,42.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:JVMCPU","avgt",3,2,10300.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:MemAlloc","avgt",3,2,1532305.990000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead56Kb:ThreadCPU","avgt",3,2,3251.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb","avgt",3,2,9.166954,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:GC-Collections","avgt",3,2,68.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:GC-Time","avgt",3,2,374.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:JVMCPU","avgt",3,2,130150.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:MemAlloc","avgt",3,2,19489196.520000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapBufferRead614Kb:ThreadCPU","avgt",3,2,37293.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb","avgt",3,2,10.068995,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:GC-Collections","avgt",3,2,21.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:GC-Time","avgt",3,2,46.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:JVMCPU","avgt",3,2,25800.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:MemAlloc","avgt",3,2,5138126.320000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead118Kb:ThreadCPU","avgt",3,2,7823.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb","avgt",3,2,9.657112,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:GC-Collections","avgt",3,2,5.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:GC-Time","avgt",3,2,17.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:JVMCPU","avgt",3,2,6130.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:MemAlloc","avgt",3,2,1815499.980000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead1Kb:ThreadCPU","avgt",3,2,2000.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb","avgt",3,2,11.847907,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:GC-Collections","avgt",3,2,4.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:GC-Time","avgt",3,2,6.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:JVMCPU","avgt",3,2,14030.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:MemAlloc","avgt",3,2,2465376.390000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead56Kb:ThreadCPU","avgt",3,2,4529.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb","avgt",3,2,7.141974,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:GC-Collections","avgt",3,2,33.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:GC-Time","avgt",3,2,212.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:JVMCPU","avgt",3,2,94910.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:MemAlloc","avgt",3,2,26736126.260000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:ThreadCPU","avgt",3,2,25565.000000,NaN,"ms"
