"Test Name", "Size (Kb)", "BufferType", "ParseSource", "Metric", "Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"614DirectString","614","Direct","String","ThreadCPU", "thrpt", 3, 2, 26226.000000, NaN, "ThreadCPU ms"
"118HeapBuffer","118","Heap","Buffer","Ops/ms", "thrpt", 3, 2, 384.011646, NaN, "ops/ms"
"118HeapBuffer","118","Heap","Buffer","GC-Collections", "thrpt", 3, 2, 9.500000, NaN, "GC Collections"
"118HeapBuffer","118","Heap","Buffer","GC-Time", "thrpt", 3, 2, 48.500000, NaN, "GC Time"
"118HeapBuffer","118","Heap","Buffer","JVMCPU", "thrpt", 3, 2, 21345.000000, NaN, "JVMCPU ms"
"118HeapBuffer","118","Heap","Buffer","MemAlloc", "thrpt", 3, 2, 2519844.495000, NaN, "Memory Allocated kB"
"118HeapBuffer","118","Heap","Buffer","ThreadCPU", "thrpt", 3, 2, 6525.500000, NaN, "ThreadCPU ms"
"1HeapBuffer","1","Heap","Buffer","Ops/ms", "thrpt", 3, 2, 319.024127, NaN, "ops/ms"
"1HeapBuffer","1","Heap","Buffer","GC-Collections", "thrpt", 3, 2, 10.000000, NaN, "GC Collections"
"1HeapBuffer","1","Heap","Buffer","GC-Time", "thrpt", 3, 2, 49.000000, NaN, "GC Time"
"1HeapBuffer","1","Heap","Buffer","JVMCPU", "thrpt", 3, 2, 15245.000000, NaN, "JVMCPU ms"
"1HeapBuffer","1","Heap","Buffer","MemAlloc", "thrpt", 3, 2, 6442711.680000, NaN, "Memory Allocated kB"
"1HeapBuffer","1","Heap","Buffer","ThreadCPU", "thrpt", 3, 2, 4958.500000, NaN, "ThreadCPU ms"
"56HeapBuffer","56","Heap","Buffer","Ops/ms", "thrpt", 3, 2, 353.169832, NaN, "ops/ms"
"56HeapBuffer","56","Heap","Buffer","GC-Collections", "thrpt", 3, 2, 3.500000, NaN, "GC Collections"
"56HeapBuffer","56","Heap","Buffer","GC-Time", "thrpt", 3, 2, 42.500000, NaN, "GC Time"
"56HeapBuffer","56","Heap","Buffer","JVMCPU", "thrpt", 3, 2, 17425.000000, NaN, "JVMCPU ms"
"56HeapBuffer","56","Heap","Buffer","MemAlloc", "thrpt", 3, 2, 3064610.275000, NaN, "Memory Allocated kB"
"56HeapBuffer","56","Heap","Buffer","ThreadCPU", "thrpt", 3, 2, 5772.500000, NaN, "ThreadCPU ms"
"614HeapBuffer","614","Heap","Buffer","Ops/ms", "thrpt", 3, 2, 430.794511, NaN, "ops/ms"
"614HeapBuffer","614","Heap","Buffer","GC-Collections", "thrpt", 3, 2, 26.500000, NaN, "GC Collections"
"614HeapBuffer","614","Heap","Buffer","GC-Time", "thrpt", 3, 2, 113.500000, NaN, "GC Time"
"614HeapBuffer","614","Heap","Buffer","JVMCPU", "thrpt", 3, 2, 46515.000000, NaN, "JVMCPU ms"
"614HeapBuffer","614","Heap","Buffer","MemAlloc", "thrpt", 3, 2, 8120499.150000, NaN, "Memory Allocated kB"
"614HeapBuffer","614","Heap","Buffer","ThreadCPU", "thrpt", 3, 2, 15265.500000, NaN, "ThreadCPU ms"
"118HeapString","118","Heap","String","Ops/ms", "thrpt", 3, 2, 397.579301, NaN, "ops/ms"
"118HeapString","118","Heap","String","GC-Collections", "thrpt", 3, 2, 12.500000, NaN, "GC Collections"
"118HeapString","118","Heap","String","GC-Time", "thrpt", 3, 2, 41.500000, NaN, "GC Time"
"118HeapString","118","Heap","String","JVMCPU", "thrpt", 3, 2, 20225.000000, NaN, "JVMCPU ms"
"118HeapString","118","Heap","String","MemAlloc", "thrpt", 3, 2, 7064922.600000, NaN, "Memory Allocated kB"
"118HeapString","118","Heap","String","ThreadCPU", "thrpt", 3, 2, 6955.000000, NaN, "ThreadCPU ms"
"1HeapString","1","Heap","String","Ops/ms", "thrpt", 3, 2, 430.168697, NaN, "ops/ms"
"1HeapString","1","Heap","String","GC-Collections", "thrpt", 3, 2, 6.000000, NaN, "GC Collections"
"1HeapString","1","Heap","String","GC-Time", "thrpt", 3, 2, 24.000000, NaN, "GC Time"
"1HeapString","1","Heap","String","JVMCPU", "thrpt", 3, 2, 15140.000000, NaN, "JVMCPU ms"
"1HeapString","1","Heap","String","MemAlloc", "thrpt", 3, 2, 6119851.150000, NaN, "Memory Allocated kB"
"1HeapString","1","Heap","String","ThreadCPU", "thrpt", 3, 2, 4977.500000, NaN, "ThreadCPU ms"
"56HeapString","56","Heap","String","Ops/ms", "thrpt", 3, 2, 374.302045, NaN, "ops/ms"
"56HeapString","56","Heap","String","GC-Collections", "thrpt", 3, 2, 13.000000, NaN, "GC Collections"
"56HeapString","56","Heap","String","GC-Time", "thrpt", 3, 2, 50.000000, NaN, "GC Time"
"56HeapString","56","Heap","String","JVMCPU", "thrpt", 3, 2, 18165.000000, NaN, "JVMCPU ms"
"56HeapString","56","Heap","String","MemAlloc", "thrpt", 3, 2, 4006235.165000, NaN, "Memory Allocated kB"
"56HeapString","56","Heap","String","ThreadCPU", "thrpt", 3, 2, 5655.500000, NaN, "ThreadCPU ms"
"614HeapString","614","Heap","String","Ops/ms", "thrpt", 3, 2, 430.840601, NaN, "ops/ms"
"614HeapString","614","Heap","String","GC-Collections", "thrpt", 3, 2, 21.000000, NaN, "GC Collections"
"614HeapString","614","Heap","String","GC-Time", "thrpt", 3, 2, 119.500000, NaN, "GC Time"
"614HeapString","614","Heap","String","JVMCPU", "thrpt", 3, 2, 50135.000000, NaN, "JVMCPU ms"
"614HeapString","614","Heap","String","MemAlloc", "thrpt", 3, 2, 16710079.495000, NaN, "Memory Allocated kB"
"614HeapString","614","Heap","String","ThreadCPU", "thrpt", 3, 2, 15343.000000, NaN, "ThreadCPU ms"
